"","x"
"1","ign:doscientas_millas_sector_antartico"
"2","ign:puntos_de_geomorfologia_DB120"
"3","ign:lineas_de_zona_costera_BA040"
"4","ign:lineas_de_aguas_continentales_BH030"
"5","ign:lineas_de_aguas_continentales_BH010"
"6","ign:puntos_de_transporte_aereo_GB005"
"7","ign:puntos_de_transporte_aereo_GB001"
"8","ign:edafologia_afloramiento_rocoso"
"9","ign:puntos_de_cruces_y_enlaces_AQ065"
"10","ign:puntos_de_comunicacion_AT010"
"11","ign:edafologia_arenal"
"12","ign:ayuda_a_la_navegacion_BC101"
"13","ign:lineas_de_geomorfologia_barranca"
"14","ign:areas_de_glaciologia_050705"
"15","ign:edafologia_barrial_barrizal"
"16","ign:bahra_base_antartica"
"17","ign:vegetacion_arborea_060301"
"18","ign:vegetacion_arborea_EC015"
"19","ign:ayuda_a_la_navegacion_BC020"
"20","ign:areas_de_aguas_continentales_BH020"
"21","ign:lineas_de_aguas_continentales_BH020"
"22","ign:areas_de_extraccion_AA012"
"23","ign:cartas_100000"
"24","ign:cartas_250000"
"25","ign:cartas_50000"
"26","ign:cartas_500000"
"27","ign:puntos_de_aguas_continentales_BH180"
"28","ign:areas_de_equipamiento_AL030"
"29","ign:puntos_de_equipamiento_AL030"
"30","ign:puntos_de_energia_AD010"
"31","ign:puntos_de_ciencia_y_educacion_AL295"
"32","ign:puntos_de_recreacion_020401"
"33","ign:puntos_de_geomorfologia_NA100"
"34","ign:complejos_fronterizos"
"35","ign:lineas_de_geomorfologia_050205"
"36","ign:lineas_de_geomorfologia_050206"
"37","ign:areas_de_aguas_continentales_BH140"
"38","ign:lineas_de_aguas_continentales_intermitentes"
"39","ign:lineas_de_aguas_continentales_perenne"
"40","ign:estructuras_operativas_y_defensivas_090102"
"41","ign:lineas_de_geomorfologia_050207"
"42","ign:lineas_de_geomorfologia_050208"
"43","ign:edafologia_cumbre_rocosa"
"44","ign:lineas_de_geomorfologia_CA010"
"45","ign:puntos_de_estructura_asociada_AA051"
"46","ign:lineas_terrestres_070401"
"47","ign:departamento"
"48","ign:sin_vegetacion_061001"
"49","ign:puntos_de_aguas_continentales_BH051"
"50","ign:lineas_de_estructura_asociada_ducto_subterraneo"
"51","ign:lineas_terrestres_070403"
"52","ign:puntos_de_asentamientos_y_edificios_AL015"
"53","ign:puntos_de_asentamientos_y_edificios_020101"
"54","ign:puntos_de_asentamientos_y_edificios_020102"
"55","ign:cultura_y_religion_AL021"
"56","ign:salud_020801"
"57","ign:estructuras_operativas_y_defensivas_FA517"
"58","ign:cultura_y_religion_AL330"
"59","ign:areas_de_aguas_continentales_BH130"
"60","ign:areas_de_aguas_continentales_041101"
"61","ign:puntos_de_aguas_continentales_041101"
"62","ign:areas_de_equipamiento_AL170"
"63","ign:areas_de_aguas_continentales_intermitenet"
"64","ign:areas_de_aguas_continentales_perenne"
"65","ign:areas_de_actividad_agropecuaria_AL270"
"66","ign:puntos_de_ciencia_y_educacion_020601"
